cluster[object],x[int64],y[int64],cell[int64],center[object]
c1,48,124,2649,N
c1,73,59,2650,N
c1,59,22,2651,N
c1,49,56,2653,N
c1,47,6,2654,N
c1,78,77,2659,N
c1,62,125,2660,N
c1,54,105,2662,N
c1,41,111,2665,N
c1,45,111,2668,N
c1,47,75,2670,N
c1,43,98,2674,N
c1,63,102,2675,N
c1,51,88,2678,N
c1,46,71,2680,N
c1,87,51,2681,N
c1,70,125,2683,N
c1,46,23,2684,N
c1,69,71,2685,N
c1,70,115,2690,N
c1,78,65,2692,N
c1,83,60,2695,N
c1,55,106,2697,N
c1,83,44,2698,N
c1,51,81,2700,N
c1,53,105,2702,N
c1,48,107,2703,N
c1,81,60,2704,N
c1,62,89,2707,N
c1,59,46,2708,N
c1,54,10,2712,N
c1,79,44,2713,N
c1,50,68,2714,N
c1,48,31,2715,N
c1,42,36,2717,N
c1,47,48,2719,N
c1,45,32,2720,N
c1,71,79,2721,N
c1,46,111,2723,N
c1,47,23,2726,N
c1,45,127,2729,N
c1,49,28,2737,N
c1,67,28,2738,N
c1,73,124,2739,N
c1,49,88,2740,N
c1,49,33,2742,N
c1,46,104,2743,N
c1,53,70,2745,N
c1,50,59,2746,N
c1,48,87,2747,N
c1,57,90,2748,N
c1,50,101,2750,N
c1,43,34,2752,N
c1,52,19,2754,N
c1,49,50,2756,N
c1,85,63,2761,N
c1,45,99,2762,N
c1,48,110,2763,N
c1,88,65,2767,N
c1,35,127,2770,N
c1,43,67,2771,N
c1,48,10,2774,N
c1,46,88,2775,N
c1,80,43,2777,N
c1,49,70,2780,N
c1,46,16,2781,N
c1,45,112,2782,N
c1,52,65,2783,N
c1,53,104,2784,N
c1,81,42,2785,N
c1,73,64,2787,N
c1,47,25,2788,N
c1,49,19,2792,N
c1,73,123,2802,N
c1,46,122,2804,N
c1,50,84,2808,N
c1,80,62,2811,N
c1,78,51,2813,N
c1,52,10,2815,N
c1,75,69,2816,N
c1,45,104,2817,N
c1,44,105,2820,N
c1,46,48,2822,N
c1,72,123,2824,N
c1,51,56,2825,N
c1,82,56,2830,N
c1,46,46,2833,N
c1,41,37,2834,N
c1,54,115,2835,N
c1,84,69,2836,N
c1,50,83,2838,N
c1,46,99,2840,N
c1,66,52,2842,N
c1,51,78,2844,N
c1,46,114,2846,N
c1,43,18,2847,N
c1,82,62,2852,N
c1,47,126,2853,N
c1,50,16,2855,N
c1,79,47,2857,N
c1,41,38,2858,N
c1,41,24,2863,N
c1,44,98,2864,N
c1,57,13,2865,N
c1,50,126,2866,N
c1,47,42,2871,N
c1,47,100,2874,N
c1,45,72,2877,N
c1,50,8,2878,N
c1,68,38,2879,N
c1,49,84,2883,N
c1,78,49,2884,N
c1,47,3,2888,N
c1,48,61,2889,N
c1,46,84,2890,N
c1,71,115,2892,N
c1,49,26,2896,N
c1,48,34,2898,N
c1,47,34,2900,N
c1,42,60,2901,N
c1,65,106,2902,N
c1,82,68,2908,N
c1,48,84,2909,N
c1,73,80,2910,N
c1,53,98,2912,N
c1,40,108,2913,N
c1,83,63,2923,N
c1,79,58,2924,N
c1,66,80,2925,N
c1,41,36,2931,N
c1,45,35,2932,N
c1,49,73,2934,N
c1,35,1,2937,N
c1,40,122,2938,N
c1,46,25,2941,N
c1,45,50,2945,N
c1,72,69,2946,N
c1,83,53,2948,N
c1,44,36,2949,N
c1,48,21,2957,N
c1,66,103,2958,N
c1,46,112,2961,N
c1,48,73,2965,N
c1,52,59,2966,N
c1,71,81,2972,N
c1,42,37,2974,N
c1,49,89,2977,N
c1,70,38,2979,N
c1,62,97,2980,N
c1,55,68,2981,N
c1,54,61,2982,N
c1,46,69,2985,N
c1,56,126,2987,N
c1,50,108,2988,N
c1,44,115,2990,N
c1,44,74,2997,N
c1,86,60,2998,N
c1,46,116,3000,N
c1,62,16,3003,N
c1,61,76,3007,N
c1,70,37,3008,N
c1,84,51,3010,N
c1,48,49,3011,N
c1,44,68,3016,N
c1,44,114,3017,N
c1,48,105,3023,N
c1,46,62,3024,N
c1,50,86,3025,N
c1,40,116,3027,N
c1,59,24,3028,N
c1,70,60,3029,N
c1,55,89,3030,N
c1,61,68,3032,N
c1,48,56,3036,N
c1,37,100,3039,N
c1,56,67,3040,N
c1,80,42,3041,N
c1,47,15,3044,N
c1,45,10,3046,N
c1,75,73,3050,N
c1,44,63,3052,N
c1,50,76,3053,N
c1,47,73,3054,N
c1,48,33,3056,N
c1,52,69,3058,N
c1,39,123,3059,N
c1,49,79,3060,N
c1,65,104,3061,N
c1,73,57,3062,N
c1,38,98,3065,N
c1,58,108,3067,N
c1,60,25,3068,N
c1,44,54,3071,N
c1,46,26,3072,N
c1,51,65,3076,N
c1,47,122,3077,N
c1,82,52,3078,N
c1,47,20,3079,N
c1,78,42,3084,N
c1,81,72,3085,N
c1,79,75,3086,N
c1,82,65,3088,N
c1,74,46,3089,N
c1,47,5,3090,N
c1,37,37,3091,N
c1,61,26,3095,N
c1,36,99,3097,N
c1,54,84,3099,N
c1,55,0,3108,N
c1,80,59,3109,N
c1,49,61,3110,N
c1,41,39,3111,N
c1,55,37,3112,N
c1,44,56,3113,N
c1,73,55,3115,N
c1,52,30,3119,N
c1,51,33,3120,N
c1,81,53,3124,N
c1,45,107,3125,N
c1,47,67,3126,N
c1,54,58,3128,N
c1,75,67,3131,N
c1,72,45,3132,N
c1,50,127,3133,N
c1,48,76,3135,N
c1,40,1,3138,N
c1,45,113,3139,N
c1,51,15,3141,N
c1,47,56,3142,N
c1,76,71,3146,N
c1,84,56,3149,N
c1,82,45,3150,N
c1,46,52,3151,N
c1,47,16,3153,N
c1,46,34,3154,N
c1,83,54,3156,N
c1,59,79,3157,N
c1,47,53,3158,N
c1,65,25,3161,N
c1,52,60,3162,N
c1,76,63,3164,N
c1,46,113,3167,N
c1,47,31,3168,N
c1,39,120,3169,N
c1,65,101,3170,N
c1,49,57,3171,N
c1,42,71,3174,N
c1,50,71,3176,N
c1,48,29,3177,N
c1,48,70,3178,N
c1,36,13,3179,N
c1,40,68,3183,N
c1,49,80,3184,N
c1,51,61,3186,N
c1,40,17,3188,N
c1,41,2,3189,N
c1,54,60,3191,N
c1,44,0,3192,N
c1,83,71,3194,N
c1,58,90,3196,N
c1,61,99,3197,N
c1,81,51,3200,N
c1,46,66,3202,N
c1,47,4,3203,N
c1,47,21,3204,N
c1,73,74,3205,N
c1,42,38,3206,N
c1,74,61,3208,N
c1,48,48,3210,N
c1,45,66,3211,N
c1,46,13,3214,N
c1,39,116,3217,N
c1,76,66,3218,N
c1,53,92,3219,N
c1,76,69,3222,N
c1,47,32,3223,N
c1,48,20,3224,N
c1,39,64,3225,N
c1,47,117,3226,N
c1,51,26,3227,N
c1,69,39,3228,N
c1,62,33,3229,N
c1,62,91,3230,N
c1,51,71,3232,N
c1,84,64,3236,N
c1,50,93,3239,N
c1,46,74,3240,N
c1,79,46,3242,N
c1,76,55,3244,N
c1,74,48,3245,N
c1,52,92,3246,N
c1,48,104,3247,N
c1,44,35,3249,N
c1,42,33,3250,N
c1,67,47,3251,N
c1,50,47,3257,N
c1,46,119,3258,N
c1,37,70,3259,N
c1,67,54,3260,N
c1,60,3,3261,N
c1,69,13,3262,N
c1,84,52,3265,N
c1,78,50,3267,N
c1,40,38,3268,N
c1,56,112,3269,N
c1,79,45,3270,N
c1,50,80,3272,N
c1,82,46,3274,N
c1,72,80,3276,N
c1,78,79,3277,N
c1,37,39,3278,N
c1,80,66,3282,N
c1,47,127,3283,N
c1,47,62,3286,N
c1,45,117,3287,N
c1,85,71,3288,N
c1,57,88,3289,N
c1,62,68,3291,N
c1,83,52,3292,N
c1,56,113,3300,N
c1,61,102,3302,N
c1,44,78,3306,N
c1,72,121,3307,N
c1,62,75,3308,N
c1,83,56,3309,N
c1,47,114,3310,N
c1,74,66,3311,N
c1,58,3,3313,N
c1,55,126,3314,N
c1,43,66,3316,N
c1,49,14,3317,N
c1,47,27,3318,N
c1,54,106,3320,N
c1,41,34,3322,N
c1,76,50,3323,N
c1,45,64,3324,N
c1,50,85,3325,N
c1,82,74,3326,N
c1,45,106,3327,N
c1,45,116,3328,N
c1,74,75,3330,N
c1,38,126,3331,N
c1,81,64,3332,N
c1,34,25,3340,N
c1,47,106,3342,N
c1,50,52,3343,N
c1,49,110,3345,N
c1,63,52,3346,N
c1,45,118,3350,N
c1,47,11,3352,N
c1,47,71,3353,N
c1,72,122,3355,N
c1,48,30,3356,N
c1,52,77,3365,N
c1,82,44,3367,N
c1,51,89,3370,N
c1,68,26,3371,N
c1,72,92,3373,N
c1,54,98,3379,N
c1,43,28,3380,N
c1,55,18,3381,N
c1,43,53,3387,N
c1,49,58,3390,N
c1,45,119,3391,N
c1,44,107,3392,N
c1,47,120,3394,N
c1,46,21,3396,N
c1,55,12,3399,N
c1,46,73,3401,N
c1,45,3,3402,N
c1,44,112,3404,N
c1,46,15,3405,N
c1,79,48,3408,N
c1,76,76,3409,N
c1,51,117,3411,N
c1,88,69,3412,N
c1,54,110,3414,N
c1,47,28,3415,N
c1,37,40,3416,N
c1,37,32,3417,N
c1,69,46,3419,N
c1,57,8,3421,N
c1,81,56,3423,N
c1,51,94,3424,N
c1,78,64,3425,N
c1,39,39,3428,N
c1,50,91,3430,N
c1,43,55,3431,N
c1,40,109,3432,N
c1,43,104,3434,N
c1,47,107,3436,N
c1,39,107,3440,N
c1,87,48,3442,N
c1,47,8,3443,N
c1,55,82,3445,N
c1,51,82,3446,N
c1,38,112,3449,N
c1,60,119,3450,N
c1,51,49,3453,N
c1,46,77,3454,N
c1,74,73,3456,N
c1,84,73,3458,N
c1,39,114,3459,N
c1,76,53,3460,N
c1,48,81,3462,N
c1,45,58,3465,N
c1,51,91,3466,N
c1,45,59,3467,N
c1,71,117,3468,N
c1,46,24,3473,N
c1,42,39,3480,N
c1,74,70,3481,N
c1,47,83,3482,N
c1,81,75,3483,N
c1,88,60,3485,N
c1,32,6,3486,N
c1,55,61,3487,N
c1,47,50,3488,N
c1,45,114,3491,N
c1,44,26,3492,N
c1,83,57,3494,N
c1,50,56,3495,N
c1,54,33,3496,N
c1,39,112,3497,N
c1,54,72,3500,N
c1,47,18,3501,N
c1,45,13,3502,N
c1,54,82,3505,N
c1,48,93,3509,N
c1,85,60,3515,N
c1,83,75,3518,N
c1,51,62,3523,N
c1,82,43,3524,N
c1,37,41,3526,N
c1,57,107,3528,N
c1,80,41,3530,N
c1,47,82,3534,N
c1,76,73,3537,N
c1,46,35,3538,N
c1,44,38,3540,N
c1,52,23,3542,N
c1,51,24,3543,N
c1,80,65,3544,N
c1,85,64,3545,N
c1,44,8,3546,N
c1,71,46,3547,N
c1,40,39,3548,N
c1,49,49,3550,N
c1,39,100,3553,N
c1,51,58,3555,N
c1,47,72,3556,N
c1,38,109,3557,N
c1,79,71,3558,N
c1,77,81,3563,N
c1,51,87,3566,N
c1,41,102,3568,N
c1,38,96,3570,N
c1,50,77,3572,N
c1,45,11,3574,N
c1,41,97,3576,N
c1,41,69,3577,N
c1,52,101,3579,N
c1,39,127,3583,N
c1,36,97,3584,N
c1,51,90,3591,N
c1,59,114,3592,N
c1,46,75,3597,N
c1,78,80,3598,N
c1,56,10,3602,N
c1,48,5,3603,N
c1,46,120,3604,N
c1,46,4,3605,N
c1,71,33,3607,N
c1,72,93,3608,N
c1,46,5,3609,N
c1,53,86,3610,N
c1,44,106,3611,N
c1,40,0,3614,N
c1,42,61,3617,N
c1,46,108,3618,N
c1,46,8,3619,N
c1,49,90,3621,N
c1,44,48,3623,N
c1,42,97,3624,N
c1,88,67,3625,N
c1,43,37,3627,N
c1,36,39,3628,N
c1,51,3,3629,N
c1,61,0,3631,N
c1,55,13,3632,N
c1,40,96,3634,N
c1,39,97,3635,N
c1,42,66,3636,N
c1,46,123,3638,N
c1,77,45,3639,N
c1,50,24,3640,N
c1,45,5,3643,N
c1,30,6,3644,N
c1,53,30,3645,N
c1,43,39,3647,N
c1,46,70,3648,N
c1,38,34,3651,N
c1,83,55,3653,N
c1,54,17,3656,N
c1,46,12,3658,N
c1,85,68,3662,N
c1,40,33,3663,N
c1,54,64,3664,N
c1,39,104,3667,N
c1,39,38,3669,N
c1,41,61,3675,N
c1,42,102,3679,N
c1,82,71,3680,N
c1,88,64,3683,N
c1,50,66,3684,N
c1,46,9,3685,N
c1,77,69,3686,N
c1,76,68,3690,N
c1,44,72,3692,N
c1,41,71,3693,N
c1,53,99,3697,N
c1,44,28,3698,N
c1,72,72,3700,N
c1,80,70,3701,N
c1,36,36,3703,N
c1,38,102,3704,N
c1,45,41,3705,N
c1,46,6,3707,N
c1,42,31,3708,N
c1,36,109,3710,N
c1,49,36,3715,N
c1,43,74,3716,N
c1,71,93,3717,N
c1,54,127,3718,N
c1,47,78,3719,N
c1,48,12,3721,N
c1,51,34,3723,N
c1,38,116,3725,N
c1,39,8,3726,N
c1,85,54,3731,N
c1,40,115,3733,N
c1,47,118,3734,N
c1,34,33,3737,N
c1,62,54,3739,N
c1,87,69,3745,N
c1,39,121,3748,N
c1,79,77,3749,N
c1,76,70,3756,N
c1,46,27,3758,N
c1,38,39,3759,N
c1,39,57,3760,N
c1,54,112,3762,N
c1,46,110,3764,N
c1,44,109,3765,N
c1,84,46,3766,N
c1,39,126,3772,N
c1,39,49,3773,N
c1,45,122,3775,N
c1,45,36,3776,N
c1,82,54,3778,N
c1,43,15,3783,N
c1,40,40,3786,N
c1,38,107,3787,N
c1,76,47,3791,N
c1,47,109,3794,N
c1,77,49,3795,N
c1,77,76,3796,N
c1,42,55,3797,N
c1,40,76,3798,N
c1,46,59,3801,N
c1,43,73,3805,N
c1,87,70,3806,N
c1,81,74,3811,N
c1,67,109,3813,N
c1,55,69,3814,N
c1,50,90,3816,N
c1,50,21,3823,N
c1,42,81,3824,N
c1,40,69,3832,N
c1,39,66,3833,N
c1,38,11,3834,N
c1,67,48,3835,N
c1,47,55,3841,N
c1,44,70,3844,N
c1,81,67,3847,N
c1,46,76,3848,N
c1,48,63,3850,N
c1,44,6,3852,N
c1,35,108,3853,N
c1,64,71,3854,N
c1,60,115,3855,N
c1,41,70,3861,N
c1,82,70,3865,N
c1,44,118,3866,N
c1,40,54,3867,N
c1,88,70,3868,N
c1,40,110,3871,N
c1,83,42,3872,N
c1,45,115,3873,N
c1,39,13,3876,N
c1,84,54,3877,N
c1,83,72,3881,N
c1,40,6,3882,N
c1,38,40,3883,N
c1,40,28,3885,N
c1,43,80,3886,N
c1,43,69,3887,N
c1,45,1,3889,N
c1,87,64,3890,N
c1,48,51,3892,N
c1,46,11,3893,N
c1,86,54,3894,N
c1,47,86,3899,N
c1,41,40,3904,N
c1,44,102,3908,N
c1,40,62,3910,N
c1,44,39,3912,N
c1,52,75,3913,N
c1,51,93,3914,N
c1,50,73,3915,N
c1,85,56,3916,N
c1,46,43,3919,N
c1,42,103,3921,N
c1,35,53,3923,N
c1,51,64,3924,N
c1,46,28,3925,N
c1,46,72,3927,N
c1,85,53,3929,N
c1,35,76,3931,N
c1,48,0,3933,N
c1,44,30,3934,N
c1,43,58,3939,N
c1,43,84,3940,N
c1,77,80,3941,N
c1,40,120,3945,N
c1,44,80,3946,N
c1,45,84,3948,N
c1,87,62,3949,N
c1,86,64,3952,N
c1,37,105,3953,N
c1,83,68,3955,N
c1,86,71,3957,N
c1,41,54,3959,N
c1,54,59,3961,N
c1,43,40,3965,N
c1,51,86,3966,N
c1,43,81,3967,N
c1,43,110,3969,N
c1,35,61,3970,N
c1,48,92,3976,N
c1,40,106,3978,N
c1,85,48,3982,N
c1,40,98,3983,N
c1,43,61,3984,N
c1,86,55,3986,N
c1,46,19,3987,N
c1,57,108,3988,N
c1,50,74,3992,N
c1,44,66,3994,N
c1,45,91,3995,N
c1,46,38,3996,N
c1,42,56,4003,N
c1,48,36,4004,N
c1,49,68,4006,N
c1,39,124,4008,N
c1,55,38,4010,N
c1,54,71,4012,N
c1,46,57,4015,N
c1,52,74,4019,N
c1,44,52,4022,N
c1,36,40,4024,N
c1,54,67,4025,N
c1,47,91,4026,N
c1,40,21,4027,N
c1,43,101,4028,N
c1,50,88,4029,N
c1,49,77,4030,N
c1,35,112,4031,N
c1,85,52,4034,N
c1,80,77,4035,N
c1,81,41,4041,N
c1,45,44,4042,N
c1,37,117,4043,N
c1,40,53,4045,N
c1,34,30,4046,N
c1,67,121,4049,N
c1,48,27,4051,N
c1,38,97,4056,N
c1,50,72,4058,N
c1,39,63,4059,N
c1,44,33,4060,N
c1,39,118,4061,N
c1,75,66,4062,N
c1,84,62,4063,N
c1,44,29,4064,N
c1,86,65,4065,N
c1,40,119,4066,N
c1,48,74,4067,N
c1,78,69,4070,N
c1,45,125,4072,N
c1,50,63,4076,N
c1,49,69,4078,N
c1,85,73,4080,N
c1,74,69,4083,N
c1,48,19,4084,N
c1,46,33,4085,N
c1,42,107,4089,N
c1,45,37,4091,N
c1,46,22,4093,N
c1,47,47,4095,N
c1,54,88,4096,N
c1,44,69,4101,N
c1,54,69,4103,N
c1,82,48,4104,N
c1,41,101,4108,N
c1,83,50,4109,N
c1,86,56,4110,N
c1,42,118,4112,N
c1,49,27,4115,N
c1,44,10,4116,N
c1,48,127,4117,N
c1,45,31,4118,N
c1,49,94,4120,N
c1,43,63,4121,N
c1,68,109,4123,N
c1,52,96,4124,N
c1,45,62,4126,N
c1,72,78,4128,N
c1,44,86,4130,N
c1,46,60,4133,N
c1,41,80,4134,N
c1,91,62,4135,N
c1,42,50,4137,N
c1,42,29,4138,N
c1,87,68,4141,N
c1,47,13,4146,N
c1,61,15,4148,N
c1,72,73,4150,N
c1,54,99,4152,N
c1,42,2,4154,N
c1,41,115,4155,N
c1,50,115,4157,N
c1,46,64,4158,N
c1,85,66,4159,N
c1,45,46,4160,N
c1,35,36,4162,N
c1,85,70,4167,N
c1,45,29,4168,N
c1,46,20,4169,N
c1,40,60,4170,N
c1,47,79,4174,N
c1,73,75,4175,N
c1,43,38,4178,N
c1,36,28,4179,N
c1,37,116,4180,N
c1,70,121,4182,N
c1,40,16,4185,N
c1,35,66,4187,N
c1,51,95,4190,N
c1,83,62,4192,N
c1,39,96,4195,N
c1,37,59,4196,N
c1,42,77,4200,N
c1,47,19,4201,N
c1,49,52,4203,N
c1,64,33,4205,N
c1,79,57,4206,N
c1,42,113,4210,N
c1,38,5,4211,N
c1,54,89,4213,N
c1,47,115,4215,N
c1,56,24,4218,N
c1,43,25,4220,N
c1,41,55,4221,N
c1,45,51,4224,N
c1,41,10,4227,N
c1,75,52,4228,N
c1,45,18,4230,N
c1,43,105,4231,N
c1,44,11,4233,N
c1,42,10,4234,N
c1,55,36,4235,N
c1,55,112,4238,N
c1,38,95,4240,N
c1,39,40,4243,N
c1,79,67,4244,N
c1,82,76,4249,N
c1,48,90,4253,N
c1,47,80,4258,N
c1,45,74,4260,N
c1,40,65,4263,N
c1,45,86,4265,N
c1,52,100,4270,N
c1,53,83,4273,N
c1,83,46,4274,N
c1,40,63,4275,N
c1,40,48,4277,N
c1,86,73,4278,N
c1,36,75,4279,N
c1,59,117,4280,N
c1,52,68,4281,N
c1,81,47,4282,N
c1,75,74,4284,N
c1,85,51,4288,N
c1,45,4,4289,N
c1,51,101,4290,N
c1,43,21,4291,N
c1,45,38,4292,N
c1,49,99,4293,N
c1,36,56,4294,N
c1,84,50,4297,N
c1,35,74,4298,N
c1,45,70,4300,N
c1,51,107,4302,N
c1,47,22,4306,N
c1,44,61,4307,N
c1,74,54,4309,N
c1,83,66,4310,N
c1,84,44,4312,N
c1,39,105,4314,N
c1,56,36,4315,N
c1,83,43,4318,N
c1,86,66,4319,N
c1,43,50,4320,N
c1,76,58,4323,N
c1,53,107,4324,N
c1,44,81,4325,N
c1,45,67,4327,N
c1,49,93,4329,N
c1,41,4,4330,N
c1,41,112,4331,N
c1,40,123,4332,N
c1,55,63,4333,N
c1,38,68,4338,N
c1,76,54,4340,N
c1,49,48,4341,N
c1,39,18,4344,N
c1,70,103,4345,N
c1,50,17,4346,N
c1,50,94,4348,N
c1,46,56,4350,N
c1,46,91,4351,N
c1,55,71,4352,N
c1,51,73,4353,N
c1,74,44,4354,N
c1,74,62,4356,N
c1,40,97,4358,N
c1,44,47,4359,N
c1,41,46,4362,N
c1,58,125,4365,N
c1,61,69,4366,N
c1,48,108,4368,N
c1,45,47,4380,N
c1,38,66,4384,N
c1,29,27,4385,N
c1,41,73,4386,N
c1,53,72,4389,N
c1,82,41,4390,N
c1,46,67,4391,N
c1,36,38,4393,N
c1,42,58,4397,N
c1,48,65,4400,N
c1,55,105,4401,N
c1,41,15,4405,N
c1,34,67,4406,N
c1,79,76,4411,N
c1,37,104,4412,N
c1,45,8,4413,N
c1,38,0,4414,N
c1,37,98,4416,N
c1,38,104,4417,N
c1,48,82,4419,N
c1,49,54,4420,N
c1,47,93,4427,N
c1,87,63,4428,N
c1,39,34,4429,N
c1,64,76,4434,N
c1,51,77,4435,N
c1,82,60,4436,N
c1,83,51,4438,N
c1,42,80,4441,N
c1,42,53,4442,N
c1,45,22,4445,N
c1,80,76,4446,N
c1,43,7,4447,N
c1,36,98,4448,N
c1,65,102,4449,N
c1,57,36,4451,N
c1,54,65,4456,N
c1,47,60,4458,N
c1,47,41,4459,N
c1,43,36,4461,N
c1,40,70,4462,N
c1,42,74,4464,N
c1,68,36,4468,N
c1,83,59,4469,N
c1,50,82,4470,N
c1,34,102,4472,N
c1,35,72,4473,N
c1,34,80,4474,N
c1,42,41,4475,N
c1,44,116,4480,N
c1,35,56,4482,N
c1,75,54,4483,N
c1,45,110,4484,N
c1,81,43,4485,N
c1,46,54,4487,N
c1,50,92,4489,N
c1,42,27,4490,N
c1,35,78,4492,N
c1,63,63,4493,N
c1,71,72,4500,N
c1,75,72,4503,N
c1,40,71,4504,N
c1,38,37,4505,N
c1,41,49,4507,N
c1,41,106,4510,N
c1,52,73,4511,N
c1,46,82,4512,N
c1,46,3,4516,N
c1,45,109,4524,N
c1,40,101,4526,N
c1,33,26,4527,N
c1,33,104,4535,N
c1,68,95,4536,N
c1,79,55,4537,N
c1,48,117,4538,N
c1,74,43,4539,N
c1,77,72,4540,N
c1,86,53,4542,N
c1,44,13,4543,N
c1,77,46,4546,N
c1,46,58,4547,N
c1,40,37,4548,N
c1,35,106,4549,N
c1,53,65,4550,N
c1,49,62,4553,N
c1,44,79,4554,N
c1,73,73,4556,N
c1,47,70,4557,N
c1,50,96,4558,N
c1,41,82,4560,N
c1,85,72,4562,N
c1,56,71,4564,N
c1,48,88,4565,N
c1,52,57,4570,N
c1,82,64,4571,N
c1,48,86,4572,N
c1,39,53,4575,N
c1,44,51,4576,N
c1,83,47,4577,N
c1,43,46,4578,N
c1,45,2,4579,N
c1,36,115,4580,N
c1,68,48,4584,N
c1,49,2,4585,N
c1,49,55,4587,N
c1,47,52,4588,N
c1,36,19,4589,N
c1,42,70,4590,N
c1,43,52,4591,N
c1,42,5,4594,N
c1,67,103,4595,N
c1,79,73,4598,N
c1,72,79,4600,N
c1,39,70,4602,N
c1,88,61,4603,N
c1,71,77,4604,N
c1,82,57,4605,N
c1,54,23,4606,N
c1,48,77,4607,N
c1,45,98,4608,N
c1,45,16,4610,N
c1,45,85,4611,N
c1,37,57,4612,N
c1,80,57,4616,N
c1,48,47,4617,N
c1,43,71,4618,N
c1,52,117,4621,N
c1,47,89,4623,N
c1,54,29,4630,N
c1,50,81,4631,N
c1,40,117,4633,N
c1,81,73,4634,N
c1,44,44,4636,N
c1,62,3,4637,N
c1,74,50,4638,N
c1,44,27,4640,N
c1,45,57,4641,N
c1,36,119,4643,N
c1,42,24,4645,N
c1,41,122,4648,N
c1,40,36,4651,N
c1,39,54,4653,N
c1,47,37,4654,N
c1,40,59,4655,N
c1,40,15,4661,N
c1,85,74,4662,N
c1,41,56,4663,N
c1,50,38,4667,N
c1,49,59,4674,N
c1,51,47,4680,N
c1,54,108,4688,N
c1,46,78,4689,N
c1,47,87,4691,N
c1,45,39,4692,N
c1,43,47,4693,N
c1,37,115,4695,N
c1,47,110,4699,N
c1,47,64,4700,N
c1,81,44,4702,N
c1,34,100,4707,N
c1,38,32,4708,N
c1,51,63,4712,N
c1,82,67,4713,N
c1,79,74,4716,N
c1,34,35,4720,N
c1,45,43,4721,N
c1,45,17,4722,N
c1,37,72,4723,N
c1,77,67,4724,N
c1,48,22,4725,N
c1,44,110,4727,N
c1,39,58,4731,N
c1,36,9,4732,N
c1,54,24,4733,N
c1,81,62,4734,N
c1,37,101,4736,N
c1,41,76,4737,N
c1,42,4,4740,N
c1,42,6,4741,N
c1,55,64,4742,N
c1,53,67,4743,N
c1,46,105,4744,N
c1,46,29,4745,N
c1,42,101,4746,N
c1,49,85,4747,N
c1,47,76,4748,N
c1,39,101,4750,N
c1,32,18,4752,N
c1,41,114,4753,N
c1,41,41,4754,N
c1,40,4,4755,N
c1,46,80,4756,N
c1,38,35,4759,N
c1,38,77,4762,N
c1,38,55,4764,N
c1,51,59,4765,N
c1,85,57,4767,N
c1,40,114,4769,N
c1,35,64,4774,N
c1,67,8,4776,N
c1,79,68,4778,N
c1,71,52,4783,N
c1,36,81,4789,N
c1,45,27,4791,N
c1,40,55,4793,N
c1,44,124,4794,N
c1,88,62,4796,N
c1,64,19,4798,N
c1,48,95,4799,N
c1,41,113,4801,N
c1,35,41,4802,N
c1,38,73,4804,N
c1,77,51,4805,N
c1,86,50,4807,N
c1,46,49,4808,N
c1,40,104,4809,N
c1,42,72,4811,N
c1,36,37,4812,N
c1,78,67,4816,N
c1,43,31,4818,N
c1,43,4,4820,N
c1,34,123,4821,N
c1,36,35,4824,N
c1,45,124,4829,N
c1,39,41,4832,N
c1,38,121,4833,N
c1,45,21,4834,N
c1,78,62,4837,N
c1,41,29,4838,N
c1,38,54,4843,N
c1,36,64,4844,N
c1,59,108,4845,N
c1,86,44,4847,N
c1,80,72,4848,N
c1,44,58,4850,N
c1,42,82,4851,N
c1,38,127,4852,N
c1,40,81,4853,N
c1,34,37,4854,N
c1,38,27,4856,N
c1,42,115,4858,N
c1,40,103,4859,N
c1,46,47,4862,N
c1,35,98,4868,N
c1,49,35,4869,N
c1,40,41,4870,N
c1,40,66,4874,N
c1,50,67,4876,N
c1,80,48,4877,N
c1,45,120,4878,N
c1,35,12,4879,N
c1,42,86,4880,N
c1,36,73,4882,N
c1,45,52,4887,N
c1,89,59,4889,N
c1,82,47,4892,N
c1,36,95,4895,N
c1,43,122,4900,N
c1,40,118,4902,N
c1,86,59,4907,N
c1,51,102,4909,N
c1,37,68,4914,N
c1,35,116,4915,N
c1,49,86,4916,N
c1,48,50,4917,N
c1,40,10,4921,N
c1,77,57,4923,N
c1,79,70,4924,N
c1,44,75,4925,N
c1,46,68,4926,N
c1,39,36,4931,N
c1,46,51,4932,N
c1,45,12,4936,N
c1,35,31,4940,N
c1,53,25,4943,N
c1,48,46,4944,N
c1,76,51,4945,N
c1,41,105,4946,N
c1,44,37,4947,N
c1,80,74,4949,N
c1,39,69,4950,N
c1,44,119,4953,N
c1,39,75,4955,N
c1,28,28,4960,N
c1,49,63,4963,N
c1,80,71,4966,N
c1,42,34,4967,N
c1,42,67,4968,N
c1,86,69,4969,N
c1,36,24,4974,N
c1,47,68,4978,N
c1,45,78,4979,N
c1,77,73,4981,N
c1,38,53,4987,N
c1,45,54,4991,N
c1,38,57,4995,N
c1,34,36,4997,N
c1,76,72,5002,N
c1,48,89,5003,N
c1,45,121,5007,N
c1,38,70,5008,N
c1,41,27,5009,N
c1,35,65,5010,N
c1,41,116,5012,N
c1,81,50,5014,N
c1,44,77,5018,N
c1,86,63,5019,N
c1,42,54,5020,N
c1,38,69,5021,N
c1,45,89,5022,N
c1,38,36,5023,N
c1,33,117,5024,N
